
"","work_zone","vehicle_type","vehicle_year","vehicle_color","race","gender","driver_state","speed_limit","speed","day_of_week","day_of_month","month","hour_of_day","speed_over","percentage_over_limit"
"324",FALSE,"Automobile",2017,"BLACK","HISPANIC","F","MD",30,49,"Sun",10,"Sep",11.8,19,63.3333333333333
"325",FALSE,"Automobile",2013,"ORANGE","BLACK","F","MD",30,56,"Sun",10,"Sep",12.0333333333333,26,86.6666666666667
"326",FALSE,"Automobile",2014,"GREY","BLACK","F","MD",30,39,"Sun",10,"Sep",12.4666666666667,9,30
"327",FALSE,"Automobile",2000,"BLACK","HISPANIC","M","MD",40,49,"Sun",10,"Sep",2.4,9,22.5
"328",FALSE,"Automobile",2013,"GREY","BLACK","M","MD",55,91,"Sun",10,"Sep",6.78333333333333,36,65.4545454545455
"329",FALSE,"Recreational Vehicle",2017,"BLACK","BLACK","F","MD",55,85,"Sun",10,"Sep",7.11666666666667,30,54.5454545454545
"330",FALSE,"Automobile",2008,"GREY","BLACK","M","MD",55,91,"Sun",10,"Sep",7.55,36,65.4545454545455
"331",FALSE,"Recreational Vehicle",4452,"RED","WHITE","M","MD",30,39,"Sun",10,"Sep",14.6833333333333,9,30
"332",FALSE,"Recreational Vehicle",2001,"GREEN","WHITE","M","MD",30,39,"Sun",10,"Sep",14.9666666666667,9,30
"333",FALSE,"Automobile",2005,"GREY","WHITE","F","MD",30,51,"Sun",10,"Sep",15.0833333333333,21,70
"334",FALSE,"Automobile",2012,"BLACK","WHITE","M","WV",55,100,"Sun",10,"Sep",0.733333333333333,45,81.8181818181818
"335",FALSE,"Automobile",2009,"GREY","HISPANIC","M","MD",40,49,"Sun",10,"Sep",9.61666666666667,9,22.5
"336",FALSE,"Automobile",2015,"RED","HISPANIC","F","MD",40,49,"Sun",10,"Sep",9.96666666666667,9,22.5
"337",FALSE,"Automobile",2007,"GREY","HISPANIC","M","MD",40,58,"Sun",10,"Sep",10.2333333333333,18,45
"338",FALSE,"Automobile",2014,"RED","HISPANIC","M","MD",35,44,"Sat",9,"Sep",23.7333333333333,9,25.7142857142857
"339",FALSE,"Automobile",2008,"BLACK","HISPANIC","F","MD",35,50,"Sun",10,"Sep",16.7,15,42.8571428571429
"340",FALSE,"Automobile",2003,"GREY","BLACK","F","MD",35,51,"Sun",10,"Sep",16.8,16,45.7142857142857
"341",FALSE,"Automobile",2003,"WHITE","HISPANIC","M","MD",35,52,"Sun",10,"Sep",16.95,17,48.5714285714286
"342",FALSE,"Automobile",2016,"BLACK","BLACK","M","MD",30,39,"Sun",10,"Sep",19.8,9,30
"343",FALSE,"Automobile",2005,"GREY","WHITE","M","MD",30,39,"Sun",10,"Sep",11.4,9,30
"344",FALSE,"Automobile",2015,"GREY","WHITE","M","MD",30,39,"Sun",10,"Sep",11.9,9,30
"345",FALSE,"Automobile",2016,"BROWN","BLACK","F","MD",30,39,"Sun",10,"Sep",12.1666666666667,9,30
"346",FALSE,"Automobile",2010,"GREY","HISPANIC","F","MD",30,53,"Sun",10,"Sep",12.5666666666667,23,76.6666666666667
