,work_zone,vehicle_type,vehicle_year,vehicle_color,race,gender,driver_state,speed_limit,speed,day_of_week,day_of_month,month,hour_of_day,speed_over,percentage_over_limit
447,FALSE,Automobile,2016,WHITE,OTHER,F,MD,25,39,Tues,12,Sep,13.38333333,14,56
448,FALSE,Automobile,1997,WHITE,HISPANIC,M,MD,40,59,Tues,12,Sep,14.5,19,47.5
449,FALSE,Automobile,2017,BLACK,ASIAN,M,MD,30,47,Tues,12,Sep,8.9,17,56.66666667
450,FALSE,Automobile,2010,GREY,HISPANIC,F,MD,30,49,Tues,12,Sep,8.983333333,19,63.33333333
451,FALSE,Automobile,2006,RED,WHITE,M,MD,30,48,Tues,12,Sep,9.133333333,18,60
452,FALSE,Automobile,2015,WHITE,BLACK,F,MD,30,48,Tues,12,Sep,9.483333333,18,60
453,FALSE,Automobile,2000,GREY,BLACK,M,MD,30,47,Tues,12,Sep,10.03333333,17,56.66666667
454,FALSE,Station Wagon,2010,GREY,WHITE,F,MD,35,44,Tues,12,Sep,10.83333333,9,25.71428571
455,FALSE,Automobile,2007,BLACK,ASIAN,M,MD,35,44,Tues,12,Sep,11.35,9,25.71428571
456,FALSE,Automobile,2005,WHITE,BLACK,M,MD,35,44,Tues,12,Sep,11.76666667,9,25.71428571
457,FALSE,Automobile,2013,GREY,WHITE,F,MD,35,44,Tues,12,Sep,12.01666667,9,25.71428571
458,FALSE,Automobile,2015,GREY,OTHER,M,PA,35,44,Tues,12,Sep,12.25,9,25.71428571
459,FALSE,Station Wagon,2007,GREY,WHITE,M,MD,35,52,Tues,12,Sep,12.41666667,17,48.57142857
460,FALSE,Automobile,2013,BLACK,WHITE,F,MD,35,44,Tues,12,Sep,12.61666667,9,25.71428571
461,FALSE,Automobile,2012,BLUE,HISPANIC,F,MD,35,54,Tues,12,Sep,7.466666667,19,54.28571429
462,FALSE,Automobile,2002,ORANGE,ASIAN,F,MD,55,71,Tues,12,Sep,7.783333333,16,29.09090909
463,FALSE,Automobile,2017,BROWN,WHITE,F,MD,35,55,Tues,12,Sep,8.966666667,20,57.14285714
464,FALSE,Automobile,2012,BLACK,WHITE,M,MD,35,52,Tues,12,Sep,9.366666667,17,48.57142857
465,FALSE,Automobile,2016,GREY,WHITE,M,MD,35,55,Tues,12,Sep,10.15,20,57.14285714
466,FALSE,Automobile,2011,GREY,WHITE,F,MD,25,45,Tues,12,Sep,14.43333333,20,80
467,FALSE,Automobile,2004,GREY,BLACK,M,MD,25,40,Tues,12,Sep,14.58333333,15,60
468,FALSE,Automobile,2017,WHITE,OTHER,M,MD,25,40,Tues,12,Sep,14.65,15,60
469,FALSE,Automobile,2015,WHITE,OTHER,F,MD,25,48,Tues,12,Sep,14.8,23,92
