country,year,hourly_compensation
Austria,1987,13.64999962
Belgium,1987,13.96000004
Canada,1987,12.30000019
Denmark,1987,14.09000015
Finland,1987,13.44999981
France,1987,12.18999958
Greece,1987,4.599999905
"Hong Kong, China",1987,2.099999905
Ireland,1987,9.720000267
Israel,1987,5.690000057
Italy,1987,12.89000034
Japan,1987,10.68000031
"Korea, Rep.",1987,1.590000033
Luxembourg,1987,12.71000004
Mexico,1987,1.039999962
Netherlands,1987,15.14000034
New Zealand,1987,6.869999886
Norway,1987,16.93000031
Portugal,1987,2.430000067
Singapore,1987,2.299999952
Spain,1987,7.579999924
Sri Lanka,1987,0.300000012
Sweden,1987,15
Switzerland,1987,16.89999962
Taiwan,1987,2.25999999
United Kingdom,1987,9.010000229
United States,1987,13.30000019
Australia,1988,11.43999958
Austria,1988,14.48999977
Belgium,1988,14.72000027
Canada,1988,13.77000046
Denmark,1988,15.07999992
Finland,1988,15.64999962
France,1988,12.84000015
Greece,1988,5.139999866
"Hong Kong, China",1988,2.410000086
Ireland,1988,10.43000031
Israel,1988,6.880000114
Italy,1988,13.85000038
Japan,1988,12.5
"Korea, Rep.",1988,2.200000048
Luxembourg,1988,13.52999973
Mexico,1988,1.24000001
Netherlands,1988,15.78999996
New Zealand,1988,8.300000191
Norway,1988,18.60000038
Portugal,1988,2.680000067
Singapore,1988,2.74000001
Spain,1988,8.489999771
Sri Lanka,1988,0.310000002
Sweden,1988,16.68000031
Switzerland,1988,17.80999947
Taiwan,1988,2.799999952
United Kingdom,1988,10.52000046
United States,1988,13.60999966
Australia,1989,12.5
Austria,1989,14.14999962
Belgium,1989,14.36999989
Canada,1989,15.06000042
Denmark,1989,14.47000027
Finland,1989,16.78000069
France,1989,12.53999996
Greece,1989,5.420000076
"Hong Kong, China",1989,2.809999943
Ireland,1989,10.01000023
Israel,1989,6.900000095
Italy,1989,14.34000015
Japan,1989,12.39000034
"Korea, Rep.",1989,3.160000086
Luxembourg,1989,13.22999954
Mexico,1989,1.419999957
Netherlands,1989,14.93000031
New Zealand,1989,7.920000076
Norway,1989,18.5
Portugal,1989,2.849999905
Singapore,1989,3.150000095
Spain,1989,8.899999619
Sri Lanka,1989,0.310000002
Sweden,1989,17.37000084
Switzerland,1989,16.54000092
Taiwan,1989,3.5
United Kingdom,1989,10.40999985
United States,1989,14.03999996
Australia,1990,13.09000015
Austria,1990,17.71999931
Belgium,1990,17.85000038
Canada,1990,16.32999992
Denmark,1990,18.29000092
Finland,1990,20.84000015
France,1990,15.35000038
